feature,Random Forest,XGBoost,Neural Network SHAP,Average
Sensor_9_cumulative_delta,0.5511589585184081,0.17651584708492418,0.08151840187533532,0.26973106915955586
Sensor_4_rolling_mean_5,0.09932007407789412,0.1352771368847054,0.024810052388268514,0.08646908778362268
Sensor_3_rolling_mean_10,0.08326045053698942,0.08198609931455497,0.012956921326372188,0.059401157059305536
Sensor_6_cumulative_delta,0.03222532389451934,0.026880349909140948,0.0856118018918449,0.048239158565168395
Sensor_9_rolling_mean_5,0.032733410823322796,0.016338961165639126,0.08069346590456979,0.0432552792978439
Sensor_17_rolling_mean_10,0.01652714373755176,0.05238964770491947,0.010894407872142752,0.026603733104871328
Sensor_8_rolling_mean_5,0.016612687316219094,0.017796847933036642,0.011075164932812902,0.015161566727356211
Sensor_11_lag_1,0.0013306727968854547,0.017587078699402757,0.022966650823729638,0.013961467440005948
Sensor_12,0.0013296400656579671,0.004384138146796913,0.02264504096356383,0.00945293972533957
Sensor_11_lag_2,0.0012134336831690082,0.012716565255245673,0.010035308876653243,0.007988435938355975
Sensor_11_lag_3,0.001079454832590936,0.0076973782695475826,0.011335830699209279,0.0067042212671159325
Sensor_14_rolling_std_10,0.007381649243950137,0.007761260478778037,0.004607622533057343,0.0065835107519285055
Sensor_13,0.0006629491137883915,0.0020865194922645935,0.016942626178793687,0.00656403159494889
Sensor_9_rolling_std_10,0.00454235204320309,0.007102393065079595,0.007840226567224263,0.0064949905585023155
Sensor_12_rolling_std_10,0.006601771826626037,0.007442954446858295,0.004525132246190726,0.006189952839891686
Sensor_11_lag_5,0.0012054125037417572,0.00579980387102154,0.011390107662380631,0.006131774679047976
Sensor_3_lag_1,0.0006638657310206793,0.0025344258122667143,0.014735846554936705,0.005978046032741366
Sensor_13_lag_1,0.0006320631906163812,0.004438320165771222,0.012409100913601477,0.005826494756663026
Sensor_15_lag_1,0.0009715538583133045,0.00531587748636633,0.010878568891231871,0.0057220000786371685
Sensor_11_rolling_std_10,0.005760508530940838,0.006961982683065034,0.004302455599343703,0.0056749822711165245
