sensor,Random Forest,XGBoost,Neural Network SHAP,Average
Sensor_9,0.5915217897518905,0.2090310024029991,31.046892050676583,10.61581494761049
Sensor_6,0.03464758246833923,0.07724217268967325,16.25943038975452,5.457106714970845
Sensor_3,0.09583825445776849,0.10820501019554357,13.156220749370261,4.453421338007858
Sensor_13,0.01037209813581241,0.03056851919566408,12.648954271714492,4.229964963015322
Sensor_11,0.014210689638594188,0.06035568808947869,12.502732864187209,4.192433080638428
Sensor_4,0.10977555308458273,0.16460746854070682,12.19011656555873,4.154833195728007
Sensor_12,0.016583394300480465,0.03940661476347412,12.353341723666725,4.136443910910226
Sensor_8,0.026531395824533125,0.04611753802664381,12.033172259607127,4.035273731152768
Sensor_17,0.02464923137389971,0.08086932666888305,10.300534958521922,3.4686845055215687
Sensor_21,0.013959260271693018,0.0335345232641727,9.012059280818923,3.0198510214515957
Sensor_2,0.012147316062294402,0.031784846033407976,8.606816047784742,2.8835827366268147
Sensor_15,0.014227756400291303,0.036996297695739755,8.503724086209296,2.8516493801017755
Sensor_7,0.014013076082279533,0.03685130055005456,8.462449201045818,2.837771192559384
Sensor_20,0.010956607996884892,0.028433435771429778,7.355503988562161,2.4649646774434917
Sensor_14,0.010565994150655986,0.01599625611212867,1.8700882738673608,0.6322168413767152
Sensor_10,0.0,0.0,0.0,0.0
Sensor_1,0.0,0.0,0.0,0.0
Sensor_18,0.0,0.0,0.0,0.0
Sensor_19,0.0,0.0,0.0,0.0
Sensor_16,0.0,0.0,0.0,0.0
Sensor_5,0.0,0.0,0.0,0.0
